Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,4,0,1,Import,533,Aruba,ABW,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,54,,,0
H4,2016,2016,2016,4,0,1,Import,533,Aruba,ABW,899,"Areas, nes",,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,54,,,0
H4,2017,2017,2017,4,0,1,Import,533,Aruba,ABW,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2,,,,2,,31,,,0
H4,2017,2017,2017,4,0,1,Import,533,Aruba,ABW,528,Netherlands,NLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2,,,,2,,31,,,0
H4,2018,2018,2018,4,0,1,Import,533,Aruba,ABW,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,223,,,0
H4,2018,2018,2018,4,0,1,Import,533,Aruba,ABW,170,Colombia,COL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,223,,,0
H4,2019,2019,2019,4,0,1,Import,533,Aruba,ABW,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3550,,,,3550,,742,,,0
H4,2019,2019,2019,4,0,1,Import,533,Aruba,ABW,528,Netherlands,NLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3550,,,,3550,,708,,,0
H4,2019,2019,2019,4,0,1,Import,533,Aruba,ABW,842,USA,USA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,0,,,,0,,34,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,13289117,,,,14100922,,7679928,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,36,Australia,AUS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,88520,,,,88520,,53004,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,40,Austria,AUT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,56130,,,,56130,,23029,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,56,Belgium,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,782299,,,,785909,,424522,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,703004,,,,696094,,301253,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,233,Estonia,EST,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,31558,,,,31558,,16490,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,242,Fiji,FJI,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,17820,,,,22840,,1158,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,246,Finland,FIN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,39010,,,,39010,,21863,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,276,Germany,DEU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1701056,,,,1793170,,900933,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,360,Indonesia,IDN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,16487,,,,16487,,4390,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,381,Italy,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,186129,,,,188974,,73808,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,392,Japan,JPN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,305490,,,,390346,,105151,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1572226,,,,1715444,,736093,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,490,"Other Asia, nes",,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,579848,,,,583008,,197105,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,528,Netherlands,NLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,480160,,,,480160,,228849,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,540,New Caledonia,NCL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,11760,,,,14760,,1638,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,554,New Zealand,NZL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1029076,,,,1384196,,410276,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,598,Papua New Guinea,PNG,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6381,,,,66662,,1614,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,608,Philippines,PHL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,274675,,,,274675,,65261,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,616,Poland,POL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,320714,,,,335137,,174724,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,702,Singapore,SGP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,295268,,,,301979,,197452,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,704,Viet Nam,VNM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,585770,,,,586980,,188689,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,724,Spain,ESP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,162504,,,,162504,,79837,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,752,Sweden,SWE,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,13920,,,,1320,,6548,,,0
